Epoch,MotionEnergy,dME,aME,Area,dArea,Behavior
0,0.1899474075276706,1.0283404798342979,-1.1986513850103073,9.627554365521053,1.5342482305817997,still
1,-0.6907336623898618,0.8280847319415855,-1.3360358630661975,9.30171441501546,0.07283441714970601,still
2,1.2401969540766828,-0.981369691013753,-0.5470250925172682,6.546203681021038,-2.365736056009367,rear
3,-0.4345080278844,0.8636795983803114,0.4251342526523818,9.123563827614397,0.2130720499638888,still
4,-0.11232729359545901,0.35397313102298705,0.28199224819903335,10.265713508206963,-0.22186382696094722,still
5,10.089039158136746,0.09874988774021728,-0.5513749261488482,9.9211653258572,1.6964599450459663,walk
6,-0.23862884060190956,1.0655317408078497,-0.09732452017559526,10.46060248572149,0.9836020052954435,still
7,-0.5228760846612773,-0.6620589720501138,0.11674781494635798,10.131184591535424,-0.33249677693021545,still
8,7.35066781623105,0.16073757991709162,-0.5921104412868158,10.121124648350976,2.173837830078977,walk
9,0.4599425257734671,-0.3956837796004252,1.392489976803671,9.39298758451249,1.0984607766268375,still
10,1.5205615532251728,-0.009377751881351704,0.13692282608472428,4.077748707335688,-1.88558998543303,rear
11,0.3398081170565414,0.4692947530029878,1.5966976757719153,9.98309098762476,-0.49312432487969216,still
12,-0.06549413787923193,-0.07294959615775017,-0.25593387015064323,11.381051658272021,0.594350848119681,still
13,0.25223914182727464,-0.37804471987885063,-0.7557527927920071,9.12202235863347,1.2965842602346669,still
14,0.4628205956160476,0.6667045515313067,0.4799522878037405,10.426006876686117,-0.62224772728858,still
15,3.1158611493141457,-0.10619614267704049,-0.5209286460699171,9.768996795692294,1.3931269806860471,walk
16,1.4050243223909353,-0.5897836157220597,0.42638415566129306,4.738496062999142,-2.159007577719775,rear
17,-1.4188488859042803,0.33698128414284023,0.6551664846429596,9.398666097989492,0.8370374137897314,walk
18,0.4990634531367273,-0.7040933941599639,0.2846377994201399,11.108428947636758,1.387361152896807,groom
19,-0.3905422741302486,0.2946180185705022,0.3194001399804894,10.467466758460752,-0.21945566280549086,still
20,-0.2401720749089566,-0.0606438794178681,0.16104087388539265,11.72948816687483,1.8985010086006313,still
21,-0.21240974777270508,-0.08877173441322271,2.092886447472536,11.034181585819331,0.932421482087609,still
22,-0.13334213852573665,-0.39317619164305107,0.6678766779142224,11.580775986198176,0.5959209471583652,still
23,0.9156674917260416,1.0098957662491372,-0.4291145687985017,10.2311359298625,0.15172822264500885,still
24,9.003765021111958,0.05142987697797256,-0.3481614299647323,11.285673735109548,-0.3687534427220287,walk
25,1.7436548046094447,1.1746284432851515,0.0787728005517574,5.8931385419015045,2.165566409488549,groom
26,-0.16687120436231836,-0.30531409299003104,-0.12979246221902552,10.693378757132846,1.2329897798361802,still
27,0.82070350780059,0.4689590303634944,-1.847368813919396,7.166079563866223,0.5675938599988678,still
28,6.865288141304452,-0.2047547688286522,0.2300096522788349,9.627295736606913,-0.2119719843002379,walk
29,-0.8006750896508361,0.3334375217588931,1.4024993686776264,8.942766562662069,0.5753191845673834,still
30,-0.9008695914344534,-0.7814584237674577,0.6124674944095793,10.877837115948145,1.7844734394531498,still
31,0.09768141902119454,0.15986271190500106,0.2622483863456376,11.2568283720633,0.007994870677236558,still
32,-0.7375573661305872,-0.17012509197803705,0.6781097139821209,9.770879802345764,-0.42579464225507097,still
33,0.321423179379739,-0.5912810824610994,0.7002248920722038,10.464409752313994,0.2745191031131792,still
